id,systeme_id,theme_id,type_id,numero,application_id,date,journal,titre,resume,joint,complement
18,3,11.0,5,17-01-1990,3,1990-01-17,6 / 1990,Relatif à la création de l'agence municipale ,"Arrêté du ministre de intérieure qui indique que la commune de Tunis a l'autorisation de créer un établissement public communal à caractère économique dénommée "" Agence municipale de traitement et de la valorisation des déchets "", qui a comme mission ; la création des décharges contrôlées, la surveillance de leur gestion, et la création des unités de traitement des ordures.",Arrete_17_01_1990.pdf,
19,47,,5,07-07-2006,2,2006-07-07,58 / 2006,Les conditions et les mesures pour la délivrance de l'attestation de prévention.,"Ce arrête fixe les conditions et les mesures pour la délivrance de l'attestation de prévention. Article premier : Sont abrogées, les dispositions de l’article 4 de l’arrêté du ministre de l’intérieur et du développement local du 17 août 2004 susvisé, et remplacées par les dispositions suivantes : * * Article 4 (nouveau) : L’attestation de prévention ne peut être délivrée que si les mesures de prévention et de sécurité contre les risques d’incendie, d’explosion et de panique, recommandées par les services de la protection civile après constat du local, ont été prises par le requérant dans les délais fixés par le présent arrêté. * * Article 2 : Sont supprimés, à l’alinéa premier de l’article 5 de l’arrêté du ministre de l’intérieur et du développement local du 17 août 2004 susvisé, le quatrième et le cinquième tiret. Art. 3. - Le présent arrêté se",Arrete_07_07_2006_1.pdf,
20,10,,4,2004-1876,2,2004-08-11,67 / 2004,Relatif à la conformité des locaux et à l'attestation de prévention ,"Article 01 : Est supprimée l'attestation de conformité des locaux et de prévention des incendies, prèvu par le décret susvisé n°96-6 du 02 Janvier 1996. Aricle 02 : Les exploitants des locaux destinées a l'exercice d’activités commerciales ou artisanales doivent obtenir une attestation de prévention délivrée par les services de la protection civile selon les conditions et les exigences mentionnées par la réglementation. Aricle 03 : Les conditions gènerales de conformité des locaux sont déterminées par un cahier de charge.",Decret_2004_1876.pdf,
21,3,13.0,5,03-04-1997,3,1997-04-03,32 / 1997,Portant homologation de la norme tunisienne relative aux valeurs limites d'émissions des polluants des cimenteries  ,"Arrêté du ministre de l'industrie, Portant homologation de la norme tunisienne relative aux valeurs limites d'émissions des polluants des cimenteries ; indique q'est homologué la norme tunisienne : "" N.T 106.05 : protection de l'environnement, valeurs limites d’émission des polluants des cimenteries.",Arrete_03_04_1997.pdf,
22,4,14.0,4,2002-693,3,2002-04-01,29 / 2002,Les conditions et Les modalités de reprise des huiles lubrifiantes et des filtres à huile usagés et de leur gestion,"Les détenteurs des huiles lubrifiantes et des filtres à huile usagés sont tenus de : Collecter les huiles lubrifiantes et les filtres à huile usagés dans des conteneurs réservés à cet effet, placés dans des stations couvertes revêtues et accessibles aux véhicules de collecte de ces déchets. Ces stations doivent être aménagées de manière à permettre aux détenteurs un contrôle continu des conteneurs pour s'assurer la détection des fuites d'huiles. Prendre les mesures nécessaires afin d'assurer l'entretien et la maintenance des conteneurs et des stations de collecte des huiles usagées et des filtres à huiles usagées collecter les huiles lubrifiantes usagées provenant de leur installation et de les stocker dans des conditions de séparation évitant leur mélange avec tous autres produits, telles que l'eau ou l'essence ainsi qu'avec toute autre catégorie de déchets (Art.12) =================================== Les détenteurs des huiles lubrifiantes et des filtres à huile usagés sont tenus de :Livrer les huiles lubrifiantes et les filtres à huile usagés exclusivement aux personnes autorisées à exercer les activités de gestion de ces déchets (Art. 12) =================================== Les détenteurs des huiles lubrifiantes et des filtres à huile usagés sont tenus de :Tenir un registre coté et paraphé ou sont consignées consécutivement les quantités (Art.12)",Decret_2002_693-0.pdf,
23,3,70.0,3,2007-34,3,2007-11-04,45 / 2007,La qualité de l'air,"Les mesures de prévention de la pollution de l'air de sources mobiles sont : Plan de prévention urbain Fixation de valeurs limites à la sources Possibilités de mise en place de mesures particulières Plan de déplacement urbain doit tenir compte : - De l'équilibre entre le besoin de déplacement et la protection de la santé publique ainsi que de l'environnement - De la garantie de la fluidité de la circulation - De l'organisation et la coordination des modes de transport par l'utilisation appropriée et optimale du réseau routier - De la promotion des modes de transport les moins polluants et les moins consommateurs d'énergie Plan de déplacement urbain doit adopter les orientations suivantes : - la diminution des catégories de moyens de transport les plus polluants de l'air; - Le développement du transport collectif et des moyens de transport économes en énergie et les moins polluants; - Usage plus efficace du réseau routier principal, notamment par sa répartition sur les différents modes de transport, de manière à limiter les polluants de l'air",Loi_2007_34-0.pdf,
24,38,13.0,5,27-08-1984,3,1984-08-27,51 / 1984,Relatif aux fumées produites par les véhicules automobiles,"Les moteurs des véhicules automobiles doivent être conçus, construits, réglés, entretenus, alimentés et conduits, réglés, entretenus;alimentés et conduits de façon à ne pas provoquer d'émission de fumées nuisibles ou incommodantes. ------------------------------------------------------ Les véhicules en stationnement doivent avoir leur moteur arrêté, sauf en cas de nécessite. ------------------------------------------------------- Aucun véhicule en service ne doit émettre pendant la marche ou l'arrêt des fumées nettement teintées ou opaques (les émissions fugitives sont admises au moment des changements de régime du moteur). ------------------------------------------------------- Les conducteur ou le propriétaire du véhicules est astreint à présenter le véhicule au centre de visite technique afin de justifier des répartitions ou réglages effectués en vue de sa mise en conformité avec les dispositions réglementaires. -------------------------------------------------------- La mesure de l'émission sera faite au moyen d'un opacimétrie à cellule photo électrique d'un modèle agrée par le ministre des transports et des communication. -------------------------------------------------------- Le cadran de l'opacité sera gradué en 100 unités de 0 à 100 --------------------------------------------------------- l'appareil ne devra pas excéder les valeurs indiquées ci après: Voitures particulières(40 unités) , Autobus et autocars(45 unités), véhicules industriels de moins de 6 tonnes de poids total autorisé (50 unités),véhicules industriels et commerciaux de plus de 19 tonnes de poids total roulant autorisé(60 unités), véhicules et tracteurs agricoles(60 unités), véhicules spéciaux de travaux publics(60 unités) ( avec une tolérance de 10 unités si le véhicule ne bénéficie pas d'une dérogation. --------------------------------------------------------- 80 unités s'il s'agit d'un véhicule bénéficiant d'une dérogation quelle que soit la catégorie à laquelle ce véhicule appartienne.",27_08_1984.pdf,
25,3,13.0,5,13-04-1996,3,1996-04-13,34 / 1996,Portant homologation des normes tunisienne relatives à l'air ambiant,Portant homologation des normes tunisienne relatives à l'air ambiant,Arrete_13_04_1996.pdf,
26,3,13.0,5,28-12-1994,3,1994-12-28,2 / 1995,Homologation de la norme NT 106.4,"La norme visée à l'article premier du présent arrêté, est d'application obligatoire,",Arrete_28_12_1994.pdf,
27,3,13.0,4,2010-2519,3,2010-09-28,80 / 2010,Fixation des valeurs limite à la source des polluants de l'air de sources fixes. ,"- Article 3 : Obligation de prendre toutes les mesures nécessaires afin de limiter des risques des polluants de l'air ( Mesure de la qualité de l'air, mise en place de la nouvelle technologie...) Les installations doivent être conçues, installées et exploitées de manière à éviter, limiter et prévenir à la source les polluants de l’air, notamment par la mise en place de technologies propres, le traitement des émissions en fonction de leurs caractéristiques et la réduction des quantités rejetées. L'exploitant est tenu de prendre toutes les mesures de précaution nécessaires dans la conception de l’installation, son installation et son exploitation afin de limiter les risques de pollution accidentelle de l'air. Les consignes d'exploitation de l'ensemble des installations doivent mentionner explicitement les opérations de contrôle à effectuer, en marche normale et à la suite d'un arrêt pour travaux de modification ou d'entretien de façon à permettre en toutes circonstances le respect des dispositions du présent décret.",Decret_2010_2519.pdf,
28,5,15.0,3,89-20,3,1989-02-22,16 / 1989,Fixe les autorisations d'exploitation des carrières et de leur renouvellement,"Le présent loi Fixe les autorisations d'exploitation des carrières et de leur renouvellement, fixe les obligations mises à la charge des exploitations de carrière. Article 5 : Toute activité de carrière est soumise à une autorisation de l'administration compétente suite à une reconnaissance préalable des lieux et après avis de la commission consultative des carrières concernées. L'obtention de l'autorisation est assujettie à la signature par la pétitionnaire d'un cahier des charges fixant l'ensemble des obligations générales et particulière qui lui incombent.",Loi_89_20.pdf,
29,5,15.0,2,2000-97,3,2000-11-20,93 / 2000,Réglementant l'exploitation des carrières,Article unique : Il est ajouté au chapitre II de la loi n°89-20 du 22 février 1989.,Loi_2000_97.pdf,
30,5,15.0,5,08-03-2006,3,2006-03-08,22 / 2006,Portant approbation des cahiers des charges relatifs aux procédures environnementales,"Le présent arrêté Portant approbation des cahiers des charges relatifs aux procédures environnementales que le maître de l’ouvrage ou le pétitionnaire doit respecter pour les catégories d’unités soumises aux cahiers des charges. Article unique. - Sont approuvés, les dix huit (18) cahiers des charges annexés au présent arrêté, relatifs aux mesures environnementales que le maître de l’ouvrage ou le pétitionnaire doit respecter pour les catégories des unités énumérées à l’annexe II du décret susvisé n° 2005-1991 du 11 juillet 2005.",08_03_2006.pdf,
31,4,16.0,4,2008-2745,3,2008-07-28,65 / 2008,Fixation des conditions et modalités  de gestion des déchets des activités sanitaires,Assurer le traitement et l’élimination des déchets des activités sanitaires sans porter atteinte à la santé publique et à l'environnement. ------------------------------------------------------------ Les producteurs et les détenteurs des déchets des activités sanitaires sont tenus de : Trier à la source les déchets des activités sanitaires dangereux selon leur nature et leur spécificité. Collecter ces déchets et la disposer dans un service sanitaire le plus proche,Decret_2008_2745.pdf,
32,4,16.0,5,23-07-2012,3,2012-07-23,,"Portant approbation, du manuel des procédures pour la gestion des activités sanitaire","Les personnes qui gèrent des déchets sanitaires dangereux, sont tenus d'appliquer les prescriptions du manuel des procédures pour la gestion des déchets des activités sanitaires dangereux approuvé par le présent arrêté.",23_07_2012_Portant_approbation_du_manuel_des_procedures_pour_la_gestion_des_activites_sanitaire.pdf,
33,4,16.0,5,06-06-2014,3,2014-06-06,48 / 2014,La  convention conclue entre l'établissement   sanitaire et l'entreprise de gestion des déchets d'activités sanitaires,"- Article 5 : Les structures et les établissements de santé publics et privés, les cabinets de services sanitaires et assimilés, les établissements d'enseignement et les établissements de recherche lorsque les déchets sont produits à l'intérieur de ces établissements, les établissements pour le compte desquels un personnel de santé exerce une activité qui produit des déchets d'activités sanitaires et les personnes physiques qui exercent pour leur propre compte une activité productrice de déchets d'activités sanitaires mentionnés à l'article 4 du décret n° 20082745 du 28 juillet 2008 susvisé, sont tenues de : -------- 1. assurer les opérations de tri, de conditionnement et de stockage des déchets des activités sanitaires, la traçabilité de leur transport intra-muros et respecter les horaires relatifs à la fréquence de l'opération de levée des déchets. -------- 2. citer explicitement les descriptions et les caractéristiques des conteneurs utilisés pour le conditionnement des déchets des activités sanitaires comme suit : - les conteneurs doivent porter des signaux indicatifs et être identifiés par une mention explicite, selon le type de déchet des activités sanitaires : ""les déchets biologiques"", ""les déchets chimiques"", ""les déchets inflammables ou pouvant exploser"", ""les déchets infectieux"", ""les déchets piquants ou coupants"", conformément au manuel de procédures de gestion des déchets des activités sanitaires dangereux, - les conteneurs doivent porter le code et la couleur spécifiques et être étiquetés par un code indiquant l'heure, la date de remplissage des déchets et leur source, conformément au manuel de procédures de gestion des déchets des activités sanitaires dangereux. -------- 3. se conformer aux règles de l'hygiène et aux procédures de la sécurité et de la prévention des risques d'incendie, d'explosion et de panique autorisées par les services de la protection civile dans les locaux intermédiaires et les dépôts centraux réservés au stockage des déchets des activités sanitaires dangereux et ce, conformément à la législation et la réglementation en vigueur.",ARRETE_DU_06_juin_2014.pdf,
34,7,17.0,4,2004-2144,4,2004-09-02,74 / 2004,Les conditions d'assujettissement des établissements consommateurs d'énergie,"-Article 6 : Le rapport d'audit doit être signé par l'expert auditeur. L'établissement assujetti se charge de le remettre à l'agence afin de l'étudier et de se prononcer à son sujet. ----------------------------------------------------- -Article 7: (2 ème paragraphe) Dans le cas où le rapport contient des insuffisances graves, l'établissement doit entamer la réalisation d'un deuxième audit par un autre expert-auditeur das un délai ne dépassant pas les 3 mois à partir de la date de son information du rejet du rapport -------------------------------------------------- - Article 10 : Les établissements assujettis devront désigner un responsable qui sera l'interlocuteur de l'expert-auditeur durant le déroulement de l'audit et qui sera chargé ultérieurement de suivre et de contrôler l'exécution du programme proposé. Le chef de l'établissement est tenu de fournir à l'expert-auditeur toutes les informations nécessaires à la bonne conduite de l'audit énergétique.",Decret_2004_2144.pdf,
35,7,17.0,4,2009-2269,4,2009-07-31,62 / 2009,Fixation des conditions d'assujettissement des établissements consommateurs d'énergie à l'audit énergétique ,"* Les établissements appartenant au secteur industriel dont la consommation totale d’énergie est supérieure ou égale à 800 TEP * Les établissements appartenant aux secteurs du transport, du tertiaire et du résidentiel dont la consommation totale d’énergie est supérieure ou égale à 500 TEP * Tout établissement assujetti à l’audit énergétique est tenu de remettre à l’agence nationale pour la maîtrise de l’énergie les données annuelles de sa consommation énergétique. * Il est également tenu de charger tous les cinq ans un expert-auditeur, ne peuvent exercer la profession d’expert-auditeur en énergie dans les secteurs de l’industrie, u transport, du tertiaire et du résidentiel que les ingénieurs appartenant à des bureaux d’études, les centres techniques ou les ingénieurs-conseils.",Decret_2009_2269.pdf,
36,7,17.0,3,2005-82,4,2005-08-15,65 / 2005,Portant création d'un système de maîtrise de l'énergie,"1) Est crée un système de maîtrise de l’énergie ayant pour but l’appui des actions visant la rationalisation de la consommation de l’énergie, la promotion des énergies renouvelables et la substitution de l’énergie.Des subventions sont octroyées dans le cadre de ce système pour la réalisation notamment des opérations suivantes : - l’audit énergétique, les contrats programmes et la consultation préalable, - la cogénération, - l’installation de bancs pour le diagnostic des moteurs des véhicules, - l’utilisation d’équipements économes en énergie dans l’éclairage public, - le chauffage de l’eau par l’énergie solaire dans les logements et les entreprises privées, - la production de l’électricité à partir des énergies renouvelables, - la substitution de l’énergie par le gaz naturel dans le secteur industriel, le secteur résidentiel et le secteur de transport public collectif, - et toutes autres opérations ayant pour but la maîtrise de l’énergie. 2) Le système de maîtrise de l’énergie est alimenté par : - une taxe due à l’occasion de la première immatriculation des voitures de tourisme dans une série tunisienne, - une taxe due à l’importation ou à la production locale à l’exclusion de l’exportation sur les appareils pour le conditionnement de l’air relevant des numéros 841510, 841520, 841590 et 841869993 du tarif des droits de douane au taux de 10 dinars pour chaque 1000 unités thermiques. 3) La taxe n’est pas due sur les voitures de tourisme : - utilisées dans le secteur du transport public de personnes comme taxis ou louages ou pour le transport rural, - affectées exclusivement au transport des handicapés et bénéficiant d’un régime fiscal préférentiel en vertu de la législation en vigueur, - acquises par les entreprises de location de voitures et qui constituent l’objet de l’exploitation, - acquises par les entreprises de l’enseignement de la conduite automobile et qui constituent l’objet de l’exploitation, - importées par les étrangers non résidents et bénéficiant de l’exonération des droits et taxes à l’importation en vertu de la législation en vigueur, - utilisées dans le tourisme saharien et dans le tourisme de chasse dans les régions montagneuses et par les agences de voyage et acquises dans le cadre de l’article 50 du code d’incitation aux investissements. 4) La taxe n’est pas due sur le produit local s’il est prouvé que la taxe a été payée à l’importation.",Loi_2005_82.pdf,
37,4,75.0,4,2005-3395,3,2005-12-26,1 / 2006,Les conditions et les modalités de collecte des accumulateurs et piles usagés,"Toute personne ayant en sa possession des piles et accumulateurs usagés est tenue de ne pas les jeter dans l’environnement, de ne pas les mélanger avec d’autres déchets, ménagers ou autres et de les déposer, dans le but de s’en débarrasser, dans des conteneurs spécifique à cette fin.",Decret_2005_3395.pdf,
38,4,75.0,5,23-04-2008-2,3,2008-04-23,34 / 2008,Fixation des modalités et du montant de la consigne obligatoire de la reprise des accumulateurs usagés ,"Le montant de la consigne obligatoire est payé par l’acheteur au distributeur lors de l’acquisition d’un accumulateur neuf, et lui sera remboursé lors de la restitution de l’accumulateur usagé. L’acheteur est dispensé de payer ce montant lorsqu'il échange un accumulateur usagé par un accumulateur neuf.",Arrete_23_04_2008_2.pdf,
39,3,11.0,4,97-1102,3,,47 / 1997,Les conditions et des modalités de reprise et de gestion des sacs d'emballages et des emballages utilisées,"1) Le présent décret vise à assurer les conditions nécessaires afin de garantir une reprise et une gestion rationnelle des sacs d'emballage et des emballages utilisés et d'éviter l'impact négatif de leur abandon dans l'environnement. Ses dispositions s'appliquent aux sacs d'emballage en plastique et aux emballages fabriqués totalement ou partiellement en plastique ou en métal, d'une contenance supérieure ou égale à 100 millilitres destinés à être commercialisés sur le marché local. 2) Pour faciliter leur valorisation les sacs et les emballages doivent être fabriqués : - avec le minimum de matières premières, - de matières non composées et non toxiques, - de matières valorisables. 3) Les personnes qui commercialisent des produits emballés sont tenues de : - pourvoir elles-mêmes à la reprise et à la gestion des emballages utilisés des produits qu'elles mettent sur le marché selon les conditions fixées à l'article 6 du présent décret, - ou confier la prise en charge pour leur compte de cette obligation à des entreprises titulaires de l'autorisation et sur la base d'un contrat à conclure avec elles, - ou adhérer au système public de reprise et de valorisation des emballages utilisés créée conformément à l'article 8 du présent décret. 4) Les personnes assurent la gestion des systèmes de reprise et de valorisation des emballages utilisés, doivent : - établir un dispositif de consignation dont le signalement distinctif et le numéro de visa sont portés d'une manière apparente sur les emballages, - établir un système permettant la reprise des emballages utilisés, leur collecte et leur orientation vers les unités de réutilisation ou de valorisation qui dépendent d'elles ou avec lesquelles elles sont liées par un contrat, - pourvoir elles-mêmes à la réutilisation, ou à la valorisation desdits emballages. 5) Les systèmes de reprise et de valorisation sont soumis à l'autorisation du ministre chargé de l'environnement qui fixe leur signalement distinctif et le numéro de leur visa.",Decret_97_1102.pdf,
40,3,11.0,2,96-41,3,1996-06-10,49 / 1996, Gestion de déchets et leur élimination,"** Prévention et réduction de la production des déchets et de leur nocivité. - Article 4 : Valorisation des déchets par la réutilisation, le recyclage ou l’utilisation comme source d’énergie Réservation de décharges contrôlées pour le dépôt des déchets ultimes, soit après épuisement de toutes les possibilités de valorisation. Toute personne dont l’activité produit des déchets ou qui détient des déchets dans des conditions susceptibles des effets négatifs sur le sol, la flore ou la faune, de polluer l’air ou l’eau ou d’engendrer des nuisances sonores ou des odeurs et d’une manière générale de porter atteinte à l’environnement est tenue de les éliminer conformément aux dispositions de la présente loi. - Article 7 : L’incinération de déchets en plein air et leur utilisation comme combustibles sont interdites, à l’exception des déchets végétaux - Article 9 : Est mise à la charge du producteur, du distributeur ou du transporteur l'obligation de récupérer les déchets engendrés par les matières ou par les produits qu'ils produisent ou écoulent. Les autorités compétentes peuvent les obliger à éliminer ces déchets et le cas échéant, à participer à des systèmes de récupération et d'élimination des déchets provenant d'autres produits identiques ou similaires - Article 24 : La gestion des déchets doit s'effectuer sans causer un danger quelconque pour la santé de l'Homme, sans utiliser des modes ou des procédés pouvant nuire à l'environnement et notamment l'eau, l'air, le sol et les espèces de faune et de flore, sans provoquer des incommodités par le bruit ou les odeurs ou autres et sans porter atteinte aux paysages naturels et urbains. - Article 25 : Toute personne détenant des déchets est tenue de les livrer, conformément aux modalités déterminées par les autorités compétentes, à un organisme public ou privé chargé de la collecte ou à un établissement effectuant des opérations et de valorisation . - Article 33 : Un registre spécifique aux déchets dangereux est tenu et conservé pendant une période de dix ans. Cette période peut être prolongée par les règlements fixant les modalités de gestion de certaines catégories de déchets dangereux. - Article 34 : Les établissements et entreprises qui produisent, transportent ou gèrent les catégories de déchets visées à l'article 31 de la présente loi sont tenus de communiquer chaque année au ministère chargé de l'environnement toutes les informations sur les déchets qu'ils produisent, exportent ou gèrent, sur leurs origines, leurs quantités, leurs catactéristiques, leurs destinations et le mode de leur gestion, ainsi que sur les accidents qu'ils ont causé et les mesures pratiques prises pour limiter autant que possible la production de ces déchets. - Article 47 : Est puni d'un emprisonnement de deux mois à deux ans et d'une amende d'un montant de 100 à 50.000 dinars ou de l'une de ces deux peines seulement : d'établissements et d'entreprises agrées pour gérer cette catégorie de déchets, - toute personne ayant délibèrement éliminé des déchets dans des installations n'ayant pas obtenu l'autorisation visée à l'article 26 de la présente loi, - toute personne ayant délibèrement contrevenu aux dispositions des articles 13 et 14, - toute personne n'ayant pas fait parvenir les informations exigées dans l'article 34 de la présente loi à l'administration ou ayant fournit des informations erronées, - toute personne ayant délibèrement contrevenu aux conditions citées dans l'article 36 de la présente loi, relatives au conditionnement, au transport et à l'étiquetage de déchets dangereux, - toute personne ayant délibèrement contrevenu aux règlements mentionnés dans l'article 38 de la présente loi, relatifs à la limitation de la production de déchets dangereux, - toute personne ayant délibérement contrevenu aux réglements mentionnés dans l'article 41 de la présente loi.",Loi_96_41.pdf,
41,8,18.0,5,20-07-1989,3,1989-07-20,59 / 1989,Homologation de la norme tunisienne relative aux rejets d'effluents dans le milieu hydrique,"La norme visée à l'article premier du présent arrêté, est d'application obligatoire, sous réserves des dérogations prévus par l'article 6 de la loi sus-visée du 06 août 1982",Arrete_20_07_1989.pdf,
42,8,18.0,4,85-56,3,1985-01-02,6 / 1985,La réglementation relative des rejets dans le milieu récepteur (1985),"Toutes les eaux usées qui ne répondent pas aux normes de rejet dans le milieu récepteur, doivent être déversées dans les canalisations publiques conformément à la réglementation relative aux conditions de branchement et de déversement des effluents dans le réseau public d'assainissement. ------------------------------------------------------------ Toute exploitation soumise à autorisation doit effectuer des contrôles périodiques de ses rejets et tenir à cet effet un registre où sont consignés les dates et les résultats des analyses effectuées.",Decret_85_56.pdf,
